type,name,module,path,hash
"csv","agent-manifest","_config","_config/agent-manifest.csv","577b25455c05a712c0ada8fbd67596204552309c383c443a9e43da3e07465c63"
"yaml","manifest","_config","_config/manifest.yaml","fb7dd14365b6c6c0d5143b0d649f96388533c11893390ad82465db91c6698aa4"
"csv","design-methods","cis","cis/skills/bmad-cis-design-thinking/design-methods.csv","6735e9777620398e35b7b8ccb21e9263d9164241c3b9973eb76f5112fb3a8fc9"
"csv","innovation-frameworks","cis","cis/skills/bmad-cis-innovation-strategy/innovation-frameworks.csv","9a14473b1d667467172d8d161e91829c174e476a030a983f12ec6af249c4e42f"
"csv","module-help","cis","cis/module-help.csv","5fb4d618cb50646b4f5e87b4c6568bbcebc4332a9d4c1b767299b55bf2049afb"
"csv","solving-methods","cis","cis/skills/bmad-cis-problem-solving/solving-methods.csv","aa15c3a862523f20c199600d8d4d0a23fce1001010d7efc29a71abe537d42995"
"csv","story-types","cis","cis/skills/bmad-cis-storytelling/story-types.csv","ec5a3c713617bf7e2cf7db439303dd8f3363daa2f6db20a350c82260ade88bdb"
"md","SKILL","cis","cis/skills/bmad-cis-agent-brainstorming-coach/SKILL.md","99559ec54224f01db509ad5ca4234d623b94ee3a1949c7d4d0a480670b73bd52"
"md","SKILL","cis","cis/skills/bmad-cis-agent-creative-problem-solver/SKILL.md","139a0a0673d9c9cc7ce74aa62c3d1f46af09ae4b846280a52905a6d94c154f24"
"md","SKILL","cis","cis/skills/bmad-cis-agent-design-thinking-coach/SKILL.md","931ece9164ddb636bf4d85a052fe862f835219a4369383a3dd39afdc356f40e7"
"md","SKILL","cis","cis/skills/bmad-cis-agent-innovation-strategist/SKILL.md","f0c8a465f72046838722ff2989fe67c3b60265d087d3b7292ea0db1da496c60d"
"md","SKILL","cis","cis/skills/bmad-cis-agent-presentation-master/SKILL.md","898b56e7b8449f293d8522abe9bd78de9f331d11cfeb5411f00e45466557d776"
"md","SKILL","cis","cis/skills/bmad-cis-agent-storyteller/SKILL.md","2794a50b7936deb100f5de4eaddd5b3b94bcdffee5670ab2ae231675ad3acd55"
"md","SKILL","cis","cis/skills/bmad-cis-design-thinking/SKILL.md","3851c14c9a53828692fffc14c484e435adcd5452e2c8bed51f7c5dd54218e02e"
"md","SKILL","cis","cis/skills/bmad-cis-innovation-strategy/SKILL.md","9a4a90e4b81368ad09fe51a62fde1cc02aa176c828170b077c953c0b0b2f303d"
"md","SKILL","cis","cis/skills/bmad-cis-problem-solving/SKILL.md","d78b21e22a866da35f84b8aca704ef292c0d8b3444e30a79c82bca2f3af174f8"
"md","SKILL","cis","cis/skills/bmad-cis-storytelling/SKILL.md","2cfd311821f5ca76a4ad8338b58eb51da6bb508d8bb84ee2b5eb25ca816a3cd6"
"md","stories-told","cis","cis/skills/bmad-cis-agent-storyteller/stories-told.md","47ee9e599595f3d9daf96d47bcdacf55eeb69fbe5572f6b08a8f48c543bc62de"
"md","story-preferences","cis","cis/skills/bmad-cis-agent-storyteller/story-preferences.md","b70dbb5baf3603fdac12365ef24610685cba3b68a9bc41b07bbe455cbdcc0178"
"md","template","cis","cis/skills/bmad-cis-design-thinking/template.md","7834c387ac0412c841b49a9fcdd8043f5ce053e5cb26993548cf4d31b561f6f0"
"md","template","cis","cis/skills/bmad-cis-innovation-strategy/template.md","e59bd789df87130bde034586d3e68bf1847c074f63d839945e0c29b1d0c85c82"
"md","template","cis","cis/skills/bmad-cis-problem-solving/template.md","6c9efd7ac7b10010bd9911db16c2fbdca01fb0c306d871fa6381eef700b45608"
"md","template","cis","cis/skills/bmad-cis-storytelling/template.md","461981aa772ef2df238070cbec90fc40995df2a71a8c22225b90c91afed57452"
"md","workflow","cis","cis/skills/bmad-cis-design-thinking/workflow.md","2de322e0efc53d6077247fb9f8ccf9fb551c6eac7c7548b9e82a98d5621b3036"
"md","workflow","cis","cis/skills/bmad-cis-innovation-strategy/workflow.md","6349cad53fd8712e049e387e834b86f98abd1adcd9a4ead139c86b148753f36e"
"md","workflow","cis","cis/skills/bmad-cis-problem-solving/workflow.md","ccc17d3fcdc37755cbf1368ab798f3411bf01a75925b80cef2816bc168722717"
"md","workflow","cis","cis/skills/bmad-cis-storytelling/workflow.md","345841f72e6d72c77eeb76e3d404863c763c25cc06163d0f9b8aaef2e57ce381"
"yaml","bmad-skill-manifest","cis","cis/skills/bmad-cis-agent-brainstorming-coach/bmad-skill-manifest.yaml","5da43a49b039fc7158912ff216a93f661c08a38437631d63fea6eadea62006a9"
"yaml","bmad-skill-manifest","cis","cis/skills/bmad-cis-agent-creative-problem-solver/bmad-skill-manifest.yaml","c8be4e4e1f176e2d9d37c1e5bae0637a80d774f8e816f49792b672b2f551bfad"
"yaml","bmad-skill-manifest","cis","cis/skills/bmad-cis-agent-design-thinking-coach/bmad-skill-manifest.yaml","a291d86728c776975d93a72ea3bd16c9e9d6f571dd2fdbb99102aed59828abe3"
"yaml","bmad-skill-manifest","cis","cis/skills/bmad-cis-agent-innovation-strategist/bmad-skill-manifest.yaml","a34ff8a15f0a2b572b5d3a5bb56249e8ce48626dacb201042ebb18391c3b9314"
"yaml","bmad-skill-manifest","cis","cis/skills/bmad-cis-agent-presentation-master/bmad-skill-manifest.yaml","62dc2d1ee91093fc9f5112c0a04d0d82e8ae3d272d39007b2a1bdd668ef06605"
"yaml","bmad-skill-manifest","cis","cis/skills/bmad-cis-agent-storyteller/bmad-skill-manifest.yaml","516c3bf4db5aa2ac0498b181e8dacecd53d7712afc7503dc9d0896a8ade1a21e"
"yaml","bmad-skill-manifest","cis","cis/skills/bmad-cis-design-thinking/bmad-skill-manifest.yaml","ea1b058a23cd4fb442f2e7bc7a3a871b73391c0d18c32ddad020dd56b20425ee"
"yaml","bmad-skill-manifest","cis","cis/skills/bmad-cis-innovation-strategy/bmad-skill-manifest.yaml","ea1b058a23cd4fb442f2e7bc7a3a871b73391c0d18c32ddad020dd56b20425ee"
"yaml","bmad-skill-manifest","cis","cis/skills/bmad-cis-problem-solving/bmad-skill-manifest.yaml","ea1b058a23cd4fb442f2e7bc7a3a871b73391c0d18c32ddad020dd56b20425ee"
"yaml","bmad-skill-manifest","cis","cis/skills/bmad-cis-storytelling/bmad-skill-manifest.yaml","ea1b058a23cd4fb442f2e7bc7a3a871b73391c0d18c32ddad020dd56b20425ee"
"yaml","config","cis","cis/config.yaml","fbc6f8c38572d9abcf9741d3230bfd354cbb4d21bab157983550050089359fff"
"csv","brain-methods","core","core/bmad-brainstorming/brain-methods.csv","0ab5878b1dbc9e3fa98cb72abfc3920a586b9e2b42609211bb0516eefd542039"
"csv","methods","core","core/bmad-advanced-elicitation/methods.csv","e08b2e22fec700274982e37be608d6c3d1d4d0c04fa0bae05aa9dba2454e6141"
"csv","module-help","core","core/module-help.csv","79cb3524f9ee81751b6faf549e67cbaace7fa96f71b93b09db1da8e29bf9db81"
"md","compression-rules","core","core/bmad-distillator/resources/compression-rules.md","86e53d6a2072b379864766681d1cc4e1aad3d4428ecca8c46010f7364da32724"
"md","distillate-compressor","core","core/bmad-distillator/agents/distillate-compressor.md","c00da33b39a43207a224c4043d1aa4158e90e41ab421fff0ea7cc55beec81ef8"
"md","distillate-format-reference","core","core/bmad-distillator/resources/distillate-format-reference.md","0ed0e016178f606ff7b70dd852695e94bce8da6d83954257e0b85779530bcaeb"
"md","round-trip-reconstructor","core","core/bmad-distillator/agents/round-trip-reconstructor.md","47c83f4a37249ddac38460d8c95d162f6fc175a8919888e8090aed71bd9383bc"
"md","SKILL","core","core/bmad-advanced-elicitation/SKILL.md","2d1011b1c93a4cf62d9a4b8fad876f0a45e1ad0126dbb796ed21304c5c5d8fb9"
"md","SKILL","core","core/bmad-brainstorming/SKILL.md","f4a2c22b40ed34cdbd3282dd6161a3b869902f3bc75b58e181fc9faf78eedd9d"
"md","SKILL","core","core/bmad-distillator/SKILL.md","9b404438deb17c56ddc08f7b823177687fb4a62f08f40dac8faa5a93f78e374d"
"md","SKILL","core","core/bmad-editorial-review-prose/SKILL.md","b3687fe80567378627bc2a0c5034ae8d65dfeedcf2b6c90da077f4feca462d0c"
"md","SKILL","core","core/bmad-editorial-review-structure/SKILL.md","164444359d74f695a84faf7ea558d0eef39c75561e6b26669f97a165c6f75538"
"md","SKILL","core","core/bmad-help/SKILL.md","8966c636a5ee40cc9deeba9a25df4cd2a9999d035f733711946fa6b1cc0de535"
"md","SKILL","core","core/bmad-index-docs/SKILL.md","a855d7060414e73ca4fe8e1a3e1cc4d0f2ce394846e52340bdf5a1317e0d234a"
"md","SKILL","core","core/bmad-init/SKILL.md","fd3c96b86bc02f6dac8e76e2b62b7f7a0782d4c0c6586ee414a7fb37a3bc3a4e"
"md","SKILL","core","core/bmad-party-mode/SKILL.md","558831b737cf3a6a5349b9f1338f2945da82ce2564893e642a2b49b7e62e8b3f"
"md","SKILL","core","core/bmad-review-adversarial-general/SKILL.md","7bffc39e6dba4d9123648c5d4d79e17c3c5b1efbd927c3fe0026c2dbb8d99cff"
"md","SKILL","core","core/bmad-review-edge-case-hunter/SKILL.md","f49ed9976f46b4cefa1fc8b4f0a495f16089905e6a7bbf4ce73b8f05c9ae3ee6"
"md","SKILL","core","core/bmad-shard-doc/SKILL.md","3a1538536514725fd4f31aded280ee56b9645fc61d114fd94aacb3ac52304e52"
"md","splitting-strategy","core","core/bmad-distillator/resources/splitting-strategy.md","26d3ed05f912cf99ff9ebe2353f2d84d70e3e852e23a32b1215c13416ad708b5"
"md","step-01-agent-loading","core","core/bmad-party-mode/steps/step-01-agent-loading.md","04ab6b6247564f7edcd5c503f5ca7d27ae688b09bbe2e24345550963a016e9f9"
"md","step-01-session-setup","core","core/bmad-brainstorming/steps/step-01-session-setup.md","7fd2aed9527ccdf35fc86bd4c9b27b4a530b5cfdfb90ae2b7385d3185bcd60bc"
"md","step-01b-continue","core","core/bmad-brainstorming/steps/step-01b-continue.md","49f8d78290291f974432bc8e8fce340de58ed62aa946e9e3182858bf63829920"
"md","step-02-discussion-orchestration","core","core/bmad-party-mode/steps/step-02-discussion-orchestration.md","a8a79890bd03237e20f1293045ecf06f9a62bc590f5c2d4f88e250cee40abb0b"
"md","step-02a-user-selected","core","core/bmad-brainstorming/steps/step-02a-user-selected.md","7ff3bca27286d17902ecea890494599796633e24a25ea6b31bbd6c3d2e54eba2"
"md","step-02b-ai-recommended","core","core/bmad-brainstorming/steps/step-02b-ai-recommended.md","cb77b810e0c98e080b4378999f0e250bacba4fb74c1bcb0a144cffe9989d2cbd"
"md","step-02c-random-selection","core","core/bmad-brainstorming/steps/step-02c-random-selection.md","91c6e16213911a231a41b1a55be7c939e7bbcd1463bd49cb03b5b669a90c0868"
"md","step-02d-progressive-flow","core","core/bmad-brainstorming/steps/step-02d-progressive-flow.md","6b6fbbd34bcf334d79f09e8c36ed3c9d55ddd3ebb8f8f77aa892643d1a4e3436"
"md","step-03-graceful-exit","core","core/bmad-party-mode/steps/step-03-graceful-exit.md","85e87df198fbb7ce1cf5e65937c4ad6f9ab51a2d80701979570f00519a2d9478"
"md","step-03-technique-execution","core","core/bmad-brainstorming/steps/step-03-technique-execution.md","b97afefd4ccc5234e554a3dfc5555337269ce171e730b250c756718235e9df60"
"md","step-04-idea-organization","core","core/bmad-brainstorming/steps/step-04-idea-organization.md","acb7eb6a54161213bb916cabf7d0d5084316704e792a880968fc340855cdcbbb"
"md","template","core","core/bmad-brainstorming/template.md","5c99d76963eb5fc21db96c5a68f39711dca7c6ed30e4f7d22aedee9e8bb964f9"
"md","workflow","core","core/bmad-brainstorming/workflow.md","74c87846a5cda7a4534ea592ea3125a8d8a1a88d19c94f5f4481fb28d0d16bf2"
"md","workflow","core","core/bmad-party-mode/workflow.md","e4f7328ccac68ecb7fb346c6b8f4e2e52171b63cff9070c0b382124872e673cb"
"py","analyze_sources","core","core/bmad-distillator/scripts/analyze_sources.py","31e2a8441c3c43c2536739c580cdef6abecb18ff20e7447f42dd868875783166"
"py","bmad_init","core","core/bmad-init/scripts/bmad_init.py","1b09aaadd599d12ba11bd61e86cb9ce7ce85e2d83f725ad8567b99ff00cbceeb"
"py","test_analyze_sources","core","core/bmad-distillator/scripts/tests/test_analyze_sources.py","d90525311f8010aaf8d7d9212a370468a697866190bae78c35d0aae9b7f23fdf"
"py","test_bmad_init","core","core/bmad-init/scripts/tests/test_bmad_init.py","84daa73b4e6adf4adbf203081a570b16859e090104a554ae46a295c9af3cb9bb"
"yaml","config","core","core/config.yaml","163881ce69991fd190d468491038c4a290451a89837194434ae1b72224bd7f85"
"yaml","core-module","core","core/bmad-init/resources/core-module.yaml","eff85de02831f466e46a6a093d860642220295556a09c59e1b7f893950a6cdc9"
